the_geom,the_geom_webmercator,objectid,dc_key,location_block,point_x,point_y,lat,lng
0101000020E6100000550C3E6A1FCE52C0FCC674741EF74340,0101000020110F00002D9D3C9945F15FC1308169350E865241,24639417,202512002893.0,5700 BLOCK WHEELER ST,-75.22066742,39.93061691,39.93061691,-75.22066742
0101000020E610000088AA4EBDE4CE52C0465E39EF3DF54340,0101000020110F0000C96428C694F25FC1A693AF0FFA835241,24303275,202512001956.0,6800 BLOCK DICKS AV,-75.23271115,39.91595259,39.91595259,-75.23271115
0101000020E610000095C5509050CA52C0276AAB8A57FB4340,0101000020110F0000A5E130B7CDEA5FC1837C28DDBB8A5241,24456151,202509003433.0,500 BLOCK N BROAD ST,-75.16116722,39.96360906,39.96360906,-75.16116722
0101000020E6100000C3D66CE525C752C0E9D7D64FFFFF4340,0101000020110F0000931217B76CE55FC1E4F194CEE48F5241,24371894,202524001532.0,900 BLOCK E RUSSELL ST,-75.111688,39.999979,39.999979,-75.111688
0101000020E6100000ECDCB419A7C252C0A79201A08A034440,0101000020110F0000FC4707F9C9DD5FC1C177E6EED2935241,24372210,202515000988.0,7003\2 MARSDEN ST,-75.041449,40.027668,40.027668,-75.041449
0101000020E610000021CD58349DCB52C0CA4FAA7D3AFC4340,0101000020110F0000308347BD02ED5FC12DE97A5BB78B5241,24372216,202509002799.0,2700 BLOCK BROWN ST 1ST,-75.18147,39.970535,39.970535,-75.18147
0101000020E6100000218E967F44CB52C01351657BA1094440,0101000020110F0000F1DB2A106CEC5FC162AAEB83949A5241,24184818,202514000836.0,8300 BLOCK THOURON AV,-75.17605581,40.07524055,40.07524054,-75.17605581
0101000020E6100000C6127B0D26D052C0DAAC973232FD4340,0101000020110F000093B58B8EB6F45FC1E3CDDFE1C98C5241,24488371,202519003228.0,900 BLOCK N 66TH ST,-75.25232256,39.97809441,39.97809441,-75.25232255
0101000020E61000002E7BC84A02C952C010BC316F1B024440,0101000020110F0000215FEFEB95E85FC1CA661EB43B925241,24700252,202525004318.0,4200 BLOCK N 9TH ST,-75.1407649,40.01646223,40.01646223,-75.1407649
0101000020E61000002D6E2FAB28CB52C0A0745C6CDEFE4340,0101000020110F00008DFCA6CA3CEC5FC1253CBB8AA48E5241,24397838,202522002268.0,2500 BLOCK W GORDON ST,-75.17435722,39.99116282,39.99116282,-75.17435722
0101000020E6100000E2783E03EACA52C05D6DC5FEB2FD4340,0101000020110F00000AB1325DD2EB5FC1AB78E4A2588D5241,24154202,202522000500.0,1800 BLOCK N 22ND ST B,-75.170533,39.982025,39.982025,-75.170533
0101000020E61000008AA9995A5BCE52C0479D2DDE97F64340,0101000020110F00008A352C69ABF15FC13223702679855241,24488957,202512002502.0,6000 BLOCK ELMWOOD AV,-75.2243258,39.92650964,39.92650964,-75.2243258
0101000020E61000000862F269C2CE52C07F0606D612FC4340,0101000020110F00009716F1775AF25FC14D657B698B8B5241,24700894,202519002724.0,600 BLOCK N 55TH ST,-75.23061608,39.96932483,39.96932483,-75.23061608
0101000020E6100000135DFEE00FCA52C081E5CE6D3E024440,0101000020110F00000E2F84D75FEA5FC14978DA8262925241,24700915,202539003380.0,1900 BLOCK BRUNNER ST,-75.15721917,40.01753018,40.01753018,-75.15721917
0101000020E6100000143D9578E5CE52C0FB0DC97FB7FB4340,0101000020110F00006AAD430496F25FC166532932268B5241,24700895,202519004025.0,5600 BLOCK VINE ST,-75.2327558,39.96653745,39.96653745,-75.2327558
0101000020E6100000AE2AB992B6C852C01B3EF1B5CA024440,0101000020110F00003CAA284E15E85FC178C47E15FE925241,24700909,202525004339.0,4600 BLOCK N 6TH ST,-75.13614338,40.02181124,40.02181124,-75.13614338
0101000020E6100000C32E8A1EF8CE52C0DBDD03745FFA4340,0101000020110F0000E1764FB1B5F25FC157FC5FF9A8895241,24522078,202518001466.0,200 BLOCK S 56TH ST 2,-75.233894,39.956038,39.956038,-75.233894
0101000020E61000008B4C02CC63CE52C098597CF1E2FA4340,0101000020110F000091FD8AC0B9F15FC1F5C25CAA3A8A5241,24522079,202519001991.0,0 BLOCK N 52ND ST,-75.22484112,39.96005076,39.96005076,-75.22484112
0101000020E6100000523B2E701ACF52C02574D9E0ABFC4340,0101000020110F0000E2FC9AFCEFF25FC1C9A65B04358C5241,24522081,202519003185.0,5700 BLOCK MEDIA ST,-75.23598866,39.97399531,39.97399531,-75.23598866
0101000020E61000003BFE2C126ACE52C0C72BEF2EC0FB4340,0101000020110F0000F460C768C4F15FC1D4EFB9D12F8B5241,24335823,202519002025.0,400 BLOCK N 52nd St,-75.22522406,39.96680247,39.96680247,-75.22522406
0101000020E61000001490BC94F6C352C0F8E847A29B054440,0101000020110F0000FE4FFFD103E05FC1281C58BE1D965241,24186519,202502000134.0,2100 BLOCK PRINCETON AV,-75.06192511,40.04381207,40.04381207,-75.06192511
0101000020E61000002D25CB4928CA52C05623A23592F94340,0101000020110F00002559BB4D89EA5FC10EFEAA94C5885241,24584115,202509006138.0,100 BLOCK S 11TH ST,-75.158709,39.94977446,39.94977446,-75.158709
0101000020E6100000A35A441493CA52C09EEDD11BEEF94340,0101000020110F00001C4BE1B23EEB5FC106AE1E652B895241,24584116,202509006358.0,1500 BLOCK MARKET ST,-75.165227,39.952579,39.952579,-75.165227
0101000020E6100000F5D8960167CF52C0DF6A9DB81CF54340,0101000020110F0000390B920B72F35FC13434A348D5835241,24584117,202512000132.0,7200 BLOCK ELMWOOD AV,-75.240662,39.914939,39.914939,-75.240662
